project,version,commit,ADI
TeaStore,1.0.0,b0d046e,371
TeaStore,1.2.0,53c6efa,361
TeaStore,1.3.4,5cab414,360
TeaStore,1.4.0,e1eea5c,360
TeaStore,1.4.2,14648b7,360
sitewhere,1.11.0,d8df31a,3928
sitewhere,1.13.0,b85bf70,3902
sitewhere,2.0.0,cb30939,1035
sitewhere,2.1.0,0c184b5,837
sitewhere,3.0.0,fc6441d,963
qbike,1,153cf1a,0
qbike,2,66e65c8,32
qbike,3,a5d631e,47
qbike,4,472c92d,53
qbike,5,47301e2,53
trainticket,0.0.2,228066f,173
trainticket,0.0.4,97fe13c,62
trainticket,0.1.0,56b95d7,59
trainticket,0.2.0,e5ae0c3,62
trainticket,1.0.0,fa8d9ef,113
